poly.CDSGS14.CamiguinSur	CDSGS14
grandocula.CDS5304.Kimlawis.SouthCotobato	CDS5304
luzonensis.GVAG354.Mt.Cagua.N.Sierra.Luzon	GVAG354
sanguinea.RMB7659.Samarinana.Palawan	RMB7659
sanguinea.RMB7737.Samarinana.Palawan	RMB7737
sanguinea.RMB7738.Samarinana.Palawan	RMB7738
sanguinea.RMB3075.BrookesPoint.Palawan	RMB3075
sanguinea.RMB3010.Nara.EstrellaFalls.Palawan	RMB3010
sanguinea.RMB2981.Irawan.Palawan	RMB2981
sanguinea.RMB7397.Irawan.Palawan	RMB7397
sanguinea.RMB3011.Nara.EstrellaFalls.Palawan	RMB3011
RMB560.NUMBER_ERROR	RMB560
luzonensis.ACD2786.DibantiRiver.SanMarinano.Isabela	ACD2786
luzonensis.PNM149.Zambales	PNM149
luzonensis.PNM149.Zambales.Luzon	PNM149
luzonensis.PNM332.Zambales	PNM332
luzonensis.PNM2158.Zambales	PNM2158
luzonensis.PNM316.Zambales	PNM316
luzonensis.PNM59.Zambales	PNM59
luzonensis.CDS1026.Pinaglubayan.Polillo	CDS1026
luzonensis.CDS2165.Labo.CamarinesNorte	CDS2165
luzonensis.CDS2074.Tobaco.CamarinesSur	CDS2074
luzonensis.CDS2075.Tobaco.CamarinesSur	CDS2075
luzonensis.CDS1027.Pinaglubayan.Polillo	CDS1027
luzonensis.CDS1089.Pinaglubayan.Polillo	CDS1089
luzonensis.RMB4030.Bulusan.Sorsogon	RMB4030
luzonensis.RMB6223.Pinaglubayan.Polillo	RMB6223
luzonensis.RMB6264.Salipsip.Polillo	RMB6264
luzonensis.RMB8894.Burdeos.Polillo	RMB8894
luzonensis.RMB8893.Burdeos.Polillo	RMB8893
luzonensis.RMB6222.Pinaglubayan.Polillo	RMB6222
luzonensis.RMB12641.Zibali.Baler.ASCOT	RMB12641
luzonensis.RMB12432.Mt.Dayap.Aurora	RMB12432
luzonensis.RMB12437.Mt.Dayap.Aurora	RMB12437
luzonensis.RMB12631.Zibali.Baler.ASCOT	RMB12631
luzonensis.RMB12632.Zibali.Baler.ASCOT	RMB12632
luzonensis.RMB12723.Minoli.Real.SanLuis.Aurora	RMB12723
luzonensis.RMB12724.Minoli.Real.SanLuis.Aurora	RMB12724
luzonensis.RMB12732.Minoli.Real.SanLuis.Aurora	RMB12732
luzonensis.RMB12733.Minoli.Real.SanLuis.Aurora	RMB12733
luzonensis.RMB12882.Minoli.Real.SanLuis.Aurora	RMB12882
luzonensis.RMB11788.Dimani.Aurora	RMB11788
luzonensis.RMB11789.Dimani.Aurora	RMB11789
luzonensis.RMB3338.Isarog.NagaCity	RMB3338
luzonensis.RMB3379.Isarog.NagaCity	RMB3379
luzonensis.RMB3345.Isarog	RMB3345
luzonensis.USNM196061.Polillo	USNM196061
luzonensis.RMB6263.Polillo.Polillo	RMB6263
luzonensis.ACD4887.L.Pimental.Aurora	ACD4887
luzonensis.ACD4888.L.Pimental.Aurora	ACD4888
luzonensis.RMB12438.Mt.Dayap.Aurora	RMB12438
luzonensis.CDS2327.SanMiguel.Catanduanes	CDS2327
luzonensis.CDS2382.Gigmoto.Catanduanes	CDS2382
luzonensis.CDS2360.Gigmoto.Catanduanes	CDS2360
luzonensis.CDS2306.SanMiguel.Catanduanes	CDS2306
luzonensis.CDS2164.Labo.CamarinesNorte	CDS2164
